ps	codeGained	ps_name_gained	gained_clusters	gained_genes	codeLost	ps_name_lost	lost_clusters	lost_genes	cval	spec_code
1	10000001	root	7204	1882677	NA	NA	NA	NA	11	1
2	152	node1	2647	391089	NA	NA	NA	NA	11	1
3	153	node2	461	3609	153	node2	1658	200429	11	1
4	1	Aque	5109	13496	1	Aque	1041	109315	11	1
1	10000001	root	7204	1882677	NA	NA	NA	NA	11	2
2	152	node1	2647	391089	NA	NA	NA	NA	11	2
3	153	node2	461	3609	153	node2	1658	200429	11	2
4	2	Emue	3469	11988	2	Emue	1823	247910	11	2
1	10000001	root	7204	1882677	NA	NA	NA	NA	11	3
2	152	node1	2647	391089	NA	NA	NA	NA	11	3
3	154	node3	667	99502	154	node3	51	441	11	3
4	155	node4	515	51497	155	node4	20	120	11	3
5	156	node5	2349	135569	156	node5	14	94	11	3
6	157	node6	666	31539	157	node6	241	1947	11	3
7	158	node7	4311	138045	158	node7	42	325	11	3
8	159	node8	4313	71478	159	node8	472	11227	11	3
9	160	node9	212	2197	160	node9	4810	136631	11	3
10	161	node10	459	4811	161	node10	409	17110	11	3
11	162	node11	101	1876	162	node11	1256	29240	11	3
12	163	node12	172	2106	163	node12	360	10342	11	3
13	164	node13	720	11863	164	node13	600	25941	11	3
14	165	node14	370	3390	165	node14	1347	38830	11	3
15	166	node15	116	1621	166	node15	2128	57166	11	3
16	167	node16	382	3851	167	node16	419	8782	11	3
17	168	node17	77	668	168	node17	2212	99213	11	3
18	169	node18	1796	10696	169	node18	3070	232086	11	3
19	170	node19	472	2068	170	node19	429	24821	11	3
20	171	node20	403	1892	171	node20	186	5606	11	3
21	3	Dapu	138	202	3	Dapu	1623	72920	11	3
1	10000001	root	7204	1882677	NA	NA	NA	NA	11	4
2	152	node1	2647	391089	NA	NA	NA	NA	11	4
3	154	node3	667	99502	154	node3	51	441	11	4
4	155	node4	515	51497	155	node4	20	120	11	4
5	156	node5	2349	135569	156	node5	14	94	11	4
6	157	node6	666	31539	157	node6	241	1947	11	4
7	158	node7	4311	138045	158	node7	42	325	11	4
8	159	node8	4313	71478	159	node8	472	11227	11	4
9	160	node9	212	2197	160	node9	4810	136631	11	4
10	161	node10	459	4811	161	node10	409	17110	11	4
11	162	node11	101	1876	162	node11	1256	29240	11	4
12	163	node12	172	2106	163	node12	360	10342	11	4
13	164	node13	720	11863	164	node13	600	25941	11	4
14	165	node14	370	3390	165	node14	1347	38830	11	4
15	166	node15	116	1621	166	node15	2128	57166	11	4
16	167	node16	382	3851	167	node16	419	8782	11	4
17	168	node17	77	668	168	node17	2212	99213	11	4
18	169	node18	1796	10696	169	node18	3070	232086	11	4
19	170	node19	472	2068	170	node19	429	24821	11	4
20	171	node20	403	1892	171	node20	186	5606	11	4
21	4	Dpul	3812	6285	4	Dpul	443	53374	11	4
1	10000001	root	7204	1882677	NA	NA	NA	NA	11	5
2	152	node1	2647	391089	NA	NA	NA	NA	11	5
3	154	node3	667	99502	154	node3	51	441	11	5
4	155	node4	515	51497	155	node4	20	120	11	5
5	156	node5	2349	135569	156	node5	14	94	11	5
6	157	node6	666	31539	157	node6	241	1947	11	5
7	158	node7	4311	138045	158	node7	42	325	11	5
8	159	node8	4313	71478	159	node8	472	11227	11	5
9	160	node9	212	2197	160	node9	4810	136631	11	5
10	161	node10	459	4811	161	node10	409	17110	11	5
11	162	node11	101	1876	162	node11	1256	29240	11	5
12	163	node12	172	2106	163	node12	360	10342	11	5
13	164	node13	720	11863	164	node13	600	25941	11	5
14	165	node14	370	3390	165	node14	1347	38830	11	5
15	166	node15	116	1621	166	node15	2128	57166	11	5
16	167	node16	382	3851	167	node16	419	8782	11	5
17	168	node17	77	668	168	node17	2212	99213	11	5
18	169	node18	1796	10696	169	node18	3070	232086	11	5
19	170	node19	472	2068	170	node19	429	24821	11	5
20	5	Dgal	504	646	5	Dgal	1695	136818	11	5
1	10000001	root	7204	1882677	NA	NA	NA	NA	11	6
2	152	node1	2647	391089	NA	NA	NA	NA	11	6
3	154	node3	667	99502	154	node3	51	441	11	6
4	155	node4	515	51497	155	node4	20	120	11	6
5	156	node5	2349	135569	156	node5	14	94	11	6
6	157	node6	666	31539	157	node6	241	1947	11	6
7	158	node7	4311	138045	158	node7	42	325	11	6
8	159	node8	4313	71478	159	node8	472	11227	11	6
9	160	node9	212	2197	160	node9	4810	136631	11	6
10	161	node10	459	4811	161	node10	409	17110	11	6
11	162	node11	101	1876	162	node11	1256	29240	11	6
12	163	node12	172	2106	163	node12	360	10342	11	6
13	164	node13	720	11863	164	node13	600	25941	11	6
14	165	node14	370	3390	165	node14	1347	38830	11	6
15	166	node15	116	1621	166	node15	2128	57166	11	6
16	167	node16	382	3851	167	node16	419	8782	11	6
17	168	node17	77	668	168	node17	2212	99213	11	6
18	169	node18	1796	10696	169	node18	3070	232086	11	6
19	6	Dmag	5776	7525	6	Dmag	881	84015	11	6
1	10000001	root	7204	1882677	NA	NA	NA	NA	11	7
2	152	node1	2647	391089	NA	NA	NA	NA	11	7
3	154	node3	667	99502	154	node3	51	441	11	7
4	155	node4	515	51497	155	node4	20	120	11	7
5	156	node5	2349	135569	156	node5	14	94	11	7
6	157	node6	666	31539	157	node6	241	1947	11	7
7	158	node7	4311	138045	158	node7	42	325	11	7
8	159	node8	4313	71478	159	node8	472	11227	11	7
9	160	node9	212	2197	160	node9	4810	136631	11	7
10	161	node10	459	4811	161	node10	409	17110	11	7
11	162	node11	101	1876	162	node11	1256	29240	11	7
12	163	node12	172	2106	163	node12	360	10342	11	7
13	164	node13	720	11863	164	node13	600	25941	11	7
14	165	node14	370	3390	165	node14	1347	38830	11	7
15	166	node15	116	1621	166	node15	2128	57166	11	7
16	167	node16	382	3851	167	node16	419	8782	11	7
17	168	node17	77	668	168	node17	2212	99213	11	7
18	172	node21	53	376	172	node21	1199	40751	11	7
19	173	node22	38	247	173	node22	550	32291	11	7
20	174	node23	171	677	174	node23	1025	65228	11	7
21	175	node24	75	319	175	node24	363	47036	11	7
22	176	node25	55	207	176	node25	783	87101	11	7
23	7	Tcas	3326	4286	7	Tcas	483	52700	11	7
1	10000001	root	7204	1882677	NA	NA	NA	NA	11	8
2	152	node1	2647	391089	NA	NA	NA	NA	11	8
3	154	node3	667	99502	154	node3	51	441	11	8
4	155	node4	515	51497	155	node4	20	120	11	8
5	156	node5	2349	135569	156	node5	14	94	11	8
6	157	node6	666	31539	157	node6	241	1947	11	8
7	158	node7	4311	138045	158	node7	42	325	11	8
8	159	node8	4313	71478	159	node8	472	11227	11	8
9	160	node9	212	2197	160	node9	4810	136631	11	8
10	161	node10	459	4811	161	node10	409	17110	11	8
11	162	node11	101	1876	162	node11	1256	29240	11	8
12	163	node12	172	2106	163	node12	360	10342	11	8
13	164	node13	720	11863	164	node13	600	25941	11	8
14	165	node14	370	3390	165	node14	1347	38830	11	8
15	166	node15	116	1621	166	node15	2128	57166	11	8
16	167	node16	382	3851	167	node16	419	8782	11	8
17	168	node17	77	668	168	node17	2212	99213	11	8
18	172	node21	53	376	172	node21	1199	40751	11	8
19	173	node22	38	247	173	node22	550	32291	11	8
20	174	node23	171	677	174	node23	1025	65228	11	8
21	175	node24	75	319	175	node24	363	47036	11	8
22	176	node25	55	207	176	node25	783	87101	11	8
23	8	Dmel	2091	2948	8	Dmel	1030	193958	11	8
1	10000001	root	7204	1882677	NA	NA	NA	NA	11	9
2	152	node1	2647	391089	NA	NA	NA	NA	11	9
3	154	node3	667	99502	154	node3	51	441	11	9
4	155	node4	515	51497	155	node4	20	120	11	9
5	156	node5	2349	135569	156	node5	14	94	11	9
6	157	node6	666	31539	157	node6	241	1947	11	9
7	158	node7	4311	138045	158	node7	42	325	11	9
8	159	node8	4313	71478	159	node8	472	11227	11	9
9	160	node9	212	2197	160	node9	4810	136631	11	9
10	161	node10	459	4811	161	node10	409	17110	11	9
11	162	node11	101	1876	162	node11	1256	29240	11	9
12	163	node12	172	2106	163	node12	360	10342	11	9
13	164	node13	720	11863	164	node13	600	25941	11	9
14	165	node14	370	3390	165	node14	1347	38830	11	9
15	166	node15	116	1621	166	node15	2128	57166	11	9
16	167	node16	382	3851	167	node16	419	8782	11	9
17	168	node17	77	668	168	node17	2212	99213	11	9
18	172	node21	53	376	172	node21	1199	40751	11	9
19	173	node22	38	247	173	node22	550	32291	11	9
20	174	node23	171	677	174	node23	1025	65228	11	9
21	175	node24	75	319	175	node24	363	47036	11	9
22	9	Znev	2573	2888	9	Znev	1198	156273	11	9
