cval	intersection_length
10	1313
10	429
10	295
10	493
10	409
10	960
10	0
10	879
10	1121
10	841
10	352
10	2824
10	0
10	757
10	199
10	908
10	1390
10	1004
10	567
10	0
10	857
10	626
10	1876
10	2122
10	261
10	226
10	198
10	1183
10	71
10	1613
10	772
10	146
10	440
10	34
10	1574
10	924
10	2317
10	49
10	957
10	479
10	192
10	687
10	662
10	680
10	1414
10	606
10	1728
10	745
10	315
10	598
10	707
10	1195
10	339
10	494
10	442
10	569
10	402
10	323
10	401
10	313
10	280
10	547
10	1088
10	738
10	282
10	491
10	44
10	210
10	1177
10	754
10	521
10	1017
10	205
10	447
10	0
10	624
10	1200
10	541
10	606
10	214
10	546
10	325
10	1013
10	1081
10	560
10	1405
10	1624
10	443
10	966
10	414
10	170
10	398
10	39
10	60
10	1122
10	2010
10	100
10	391
10	486
10	306
10	350
10	0
10	666
10	691
10	604
10	606
10	215
10	472
10	1490
10	310
10	712
10	552
10	489
10	2037
10	2032
10	0
10	1220
10	362
10	318
10	850
10	339
10	678
10	639
10	595
10	318
10	313
10	605
10	472
10	320
10	293
10	431
10	2620
10	161
10	395
10	613
10	752
10	275
10	2118
10	790
10	361
10	306
10	635
10	0
10	1310
10	880
10	1213
10	1022
10	971
10	0
10	0
10	770
10	293
10	996
10	0
10	674
10	811
10	219
10	299
10	407
10	182
10	255
10	572
10	49
10	209
10	740
10	331
10	813
10	874
10	223
10	1769
10	819
10	794
10	332
10	434
10	630
10	1894
10	211
10	1065
10	1037
10	535
10	44
10	344
10	673
10	318
10	425
10	169
10	204
10	607
10	339
10	471
10	877
10	833
10	441
10	344
10	941
10	796
10	537
10	1039
10	1075
10	0
10	277
10	0
10	610
10	168
10	0
10	185
10	798
10	0
10	430
10	445
10	0
10	755
10	363
10	0
10	72
10	1124
10	251
10	476
10	350
10	1097
10	836
10	976
10	689
10	245
10	328
10	781
10	375
10	974
10	418
10	1130
10	1295
10	279
10	1823
10	909
10	0
10	266
10	711
10	283
10	242
10	1059
10	315
10	253
10	314
10	1446
10	989
10	1645
10	302
10	285
10	1390
10	725
10	0
10	1378
10	357
10	1308
10	1031
10	227
10	0
10	326
10	1128
10	179
10	631
10	1540
10	391
10	0
10	1193
10	0
10	1123
10	1295
10	397
10	1397
10	606
10	702
10	478
10	590
10	348
10	357
10	210
10	0
10	912
10	946
10	1008
10	350
10	450
10	366
10	0
10	462
10	829
10	0
10	1748
10	1030
10	668
10	473
10	689
10	376
10	585
10	534
10	410
10	0
10	529
10	387
10	1288
10	29
10	537
10	428
10	1188
10	357
10	1039
10	356
10	937
10	624
10	625
10	593
10	29
10	356
10	193
10	499
10	415
10	319
10	368
10	432
10	1434
10	335
10	541
10	421
10	2026
10	546
10	390
10	899
10	348
10	1692
10	689
10	1246
10	702
10	185
10	196
10	792
10	565
10	240
10	475
10	751
10	1657
10	617
10	1054
10	1256
10	685
10	380
10	1725
10	521
10	548
10	650
10	2079
10	0
10	666
10	1517
10	335
10	241
10	340
10	260
10	1702
10	692
10	209
10	319
10	1276
10	588
10	699
10	406
10	449
10	2353
10	30
10	966
10	647
10	605
10	462
10	56
10	158
10	353
10	199
10	608
10	830
10	374
10	450
10	520
10	180
10	296
10	587
10	46
10	445
10	263
10	253
10	346
10	740
10	341
10	747
10	1289
10	477
10	629
10	0
10	0
10	280
10	603
10	1055
10	552
10	634
10	681
10	421
10	797
10	980
10	528
10	507
10	415
10	484
10	323
10	866
10	616
10	992
10	0
10	903
10	627
10	308
10	669
10	1326
10	456
10	39
10	193
10	51
10	389
10	245
10	0
10	309
10	1285
10	387
10	415
10	213
10	0
10	1670
10	512
10	676
10	1425
10	790
10	341
10	1312
10	843
10	720
10	175
10	537
10	0
10	462
10	0
10	0
10	636
10	496
10	1017
10	1314
10	738
10	847
10	204
10	299
10	775
10	693
10	0
10	395
10	0
10	375
10	1793
10	0
10	713
10	886
10	289
10	1580
10	139
10	334
10	381
10	0
10	287
10	1032
10	837
10	248
10	516
10	0
10	472
10	73
10	425
10	363
10	202
10	347
10	1681
10	35
10	60
10	925
10	864
10	695
10	1206
10	880
10	54
10	885
10	162
10	176
10	341
10	67
10	461
10	541
10	1250
10	1058
10	539
10	524
10	47
10	693
10	896
10	177
10	520
10	0
10	1176
10	326
10	905
10	1175
10	912
10	269
10	185
10	222
10	481
10	228
10	521
10	698
10	474
10	1058
10	1665
10	1295
10	580
10	635
10	0
10	778
10	156
10	1252
10	264
10	599
10	503
10	1655
10	529
10	700
10	977
10	1168
10	179
10	0
10	466
10	354
10	425
10	353
10	434
10	635
10	59
10	576
10	1509
10	435
10	1487
10	223
10	251
10	281
