representative	minTaxID
pid|0000000000000065312|tx|65|	10000001
pid|0000000000000065766|tx|65|	10000001
pid|0000000000000651652|tx|65|	10000001
pid|0000000000000651353|tx|65|	10000001
pid|0000000000000651344|tx|65|	10000001
pid|0000000000000065262|tx|65|	10000001
pid|0000000000000065200|tx|65|	10000001
pid|0000000000000065539|tx|65|	10000001
pid|0000000000000006547|tx|65|	10000001
pid|0000000000000065323|tx|65|	10000001
pid|0000000000000065806|tx|65|	10000001
pid|0000000000000651283|tx|65|	10000001
pid|0000000000000006566|tx|65|	10000001
pid|0000000000000065703|tx|65|	10000001
pid|0000000000000006563|tx|65|	10000001
pid|0000000000000006574|tx|65|	10000001
pid|0000000000000065427|tx|65|	10000001
pid|0000000000000655659|tx|65|	10000001
pid|0000000000000006599|tx|65|	10000001
pid|0000000000000653706|tx|65|	10000001
pid|0000000000000065617|tx|65|	10000001
pid|0000000000000656391|tx|65|	10000001
pid|0000000000000651336|tx|65|	10000001
pid|0000000000000065105|tx|65|	10000001
pid|0000000000000651890|tx|65|	10000001
pid|0000000000000655529|tx|65|	10000001
pid|0000000000000651612|tx|65|	10000001
pid|0000000000000065349|tx|65|	10000001
pid|0000000000000651703|tx|65|	10000001
pid|0000000000000065184|tx|65|	10000001
pid|0000000000000065854|tx|65|	10000001
pid|0000000000011314174|tx|113|	10000001
pid|0000000000000006551|tx|65|	10000001
pid|0000000000000659220|tx|65|	10000001
pid|0000000000000655948|tx|65|	10000001
pid|0000000000000654312|tx|65|	10000001
pid|0000000000011315957|tx|113|	10000001
pid|0000000000000065571|tx|65|	10000001
pid|0000000000000654059|tx|65|	10000001
pid|0000000000000065616|tx|65|	10000001
pid|0000000000000651855|tx|65|	10000001
pid|0000000000000651267|tx|65|	10000001
pid|0000000000000652190|tx|65|	10000001
pid|0000000000000652503|tx|65|	10000001
pid|0000000000000065799|tx|65|	10000001
pid|0000000000000065370|tx|65|	10000001
pid|0000000000000652168|tx|65|	10000001
pid|0000000000000651884|tx|65|	10000001
pid|0000000000000652913|tx|65|	10000001
pid|0000000000000651976|tx|65|	10000001
pid|0000000000000652416|tx|65|	10000001
pid|0000000000000065140|tx|65|	10000001
pid|0000000000000657762|tx|65|	10000001
pid|0000000000000654476|tx|65|	10000001
pid|0000000000000065243|tx|65|	10000001
pid|0000000000000653276|tx|65|	10000001
pid|0000000000000653384|tx|65|	10000001
pid|0000000000000656833|tx|65|	10000001
pid|0000000000000656832|tx|65|	10000001
pid|0000000000000652019|tx|65|	10000001
pid|0000000000000651426|tx|65|	10000001
pid|0000000000000651105|tx|65|	10000001
pid|0000000000000065190|tx|65|	10000001
pid|0000000000000065238|tx|65|	10000001
pid|0000000000000065118|tx|65|	10000001
pid|0000000000000065908|tx|65|	10000001
pid|0000000000000006533|tx|65|	10000001
pid|0000000000000651907|tx|65|	10000001
pid|0000000000000065129|tx|65|	10000001
pid|0000000000000652711|tx|65|	10000001
pid|0000000000000653503|tx|65|	10000001
pid|0000000000000657012|tx|65|	10000001
pid|0000000000000006557|tx|65|	10000001
pid|0000000000000065930|tx|65|	10000001
pid|0000000000006513392|tx|65|	10000001
pid|0000000000000656497|tx|65|	10000001
pid|0000000000000651076|tx|65|	10000001
pid|0000000000000065867|tx|65|	10000001
pid|0000000000000652965|tx|65|	10000001
pid|0000000000000654633|tx|65|	10000001
pid|0000000000000652787|tx|65|	10000001
pid|0000000000000651780|tx|65|	10000001
pid|0000000000000653702|tx|65|	10000001
pid|0000000000006511309|tx|65|	10000001
pid|0000000000000065468|tx|65|	10000001
pid|0000000000000065148|tx|65|	10000001
pid|0000000000000065960|tx|65|	10000001
pid|0000000000000006531|tx|65|	10000001
pid|0000000000001138192|tx|113|	10000001
pid|0000000000000065473|tx|65|	10000001
pid|0000000000000065560|tx|65|	10000001
pid|0000000000000652573|tx|65|	10000001
pid|0000000000000065492|tx|65|	10000001
pid|0000000000000065977|tx|65|	10000001
pid|0000000000000651311|tx|65|	10000001
pid|0000000000000065915|tx|65|	10000001
pid|0000000000000065437|tx|65|	10000001
pid|0000000000000065173|tx|65|	10000001
pid|0000000000000654207|tx|65|	10000001
pid|0000000000000652311|tx|65|	10000001
pid|0000000000006514642|tx|65|	10000001
pid|0000000000000065575|tx|65|	10000001
pid|0000000000000658265|tx|65|	10000001
pid|0000000000000652611|tx|65|	10000001
pid|0000000000000651071|tx|65|	10000001
pid|0000000000000065888|tx|65|	10000001
pid|0000000000000065870|tx|65|	10000001
pid|0000000000000651944|tx|65|	10000001
pid|0000000000000651482|tx|65|	10000001
