cval	intersection_length
11	20
11	0
11	2
11	0
11	9
11	0
11	0
11	1
11	5
11	24
11	1
11	0
11	0
11	16
11	9
11	6
11	22
11	1
11	0
11	5
11	8
11	0
11	14
11	35
11	0
11	7
11	6
11	0
11	0
11	0
11	11
11	15
11	5
11	1
11	0
11	44
11	32
11	24
11	0
11	10
11	24
11	10
11	4
11	2
11	13
11	51
11	3
11	8
11	4
11	0
11	24
11	3
11	2
11	3
11	7
11	15
11	1
11	1
11	6
11	2
11	46
11	5
11	1
11	17
11	1
11	12
11	9
11	7
11	22
11	4
11	0
11	1
11	3
11	24
11	2
11	55
11	10
11	2
11	11
11	1
11	0
11	0
11	1
11	12
11	2
11	6
11	6
11	9
11	4
11	6
11	18
11	0
11	2
11	0
11	72
11	7
11	2
11	57
11	4
11	25
11	3
11	22
11	28
11	4
11	0
11	3
11	1
11	17
11	23
11	5
11	34
11	6
11	3
11	2
11	35
11	24
11	18
11	19
11	3
11	27
11	11
11	6
11	2
11	19
11	0
11	1
11	35
11	15
11	46
11	3
11	7
11	0
11	0
11	1
11	20
11	76
11	6
11	5
11	37
11	1
11	1
11	11
11	8
11	18
11	9
11	29
11	4
11	2
11	6
11	4
11	0
11	12
11	5
11	2
11	2
11	8
11	1
11	0
11	5
11	23
11	0
11	3
11	1
11	41
11	4
11	14
11	2
11	9
11	4
11	19
11	3
11	0
11	40
11	37
11	2
11	1
11	1
11	5
11	39
11	1
11	0
11	0
11	4
11	0
11	35
11	15
11	3
11	18
11	11
11	1
11	3
11	0
11	0
11	8
11	5
11	4
11	45
11	16
11	5
11	23
11	1
11	0
11	2
11	2
11	16
11	0
11	64
11	9
11	2
11	4
11	2
11	2
11	146
11	4
11	3
11	5
11	11
11	2
11	0
11	3
11	0
11	7
11	17
11	0
11	43
11	3
11	6
11	0
11	9
11	17
11	3
11	1
11	8
11	63
11	2
11	2
11	8
11	10
11	54
11	21
11	0
11	4
11	2
11	5
11	1
11	5
11	1
11	82
11	9
11	0
11	35
11	1
11	4
11	39
11	1
11	0
11	11
11	8
11	7
11	0
11	4
11	6
11	1
11	0
11	169
11	51
11	19
11	42
11	0
11	0
11	31
11	9
11	5
11	6
11	16
11	7
11	8
11	19
11	1
11	11
11	5
11	4
11	1
11	81
11	2
11	32
11	5
11	33
11	2
11	6
11	0
11	11
11	8
11	3
11	3
11	17
11	2
11	8
11	3
11	2
11	17
11	8
11	1
11	3
11	18
11	8
11	12
11	33
11	14
11	18
11	3
11	2
11	0
11	4
11	36
11	11
11	11
11	4
11	1
11	3
11	14
11	3
11	8
11	4
11	2
11	16
11	4
11	0
11	4
11	62
11	20
11	10
11	3
11	107
11	10
11	6
11	4
11	24
11	7
11	0
11	1
11	0
11	1
11	0
11	0
11	1
11	9
11	15
11	12
11	1
11	6
11	0
11	12
11	0
11	2
11	12
11	3
11	1
11	0
11	3
11	1
11	3
11	19
11	1
11	5
11	8
11	12
11	17
11	6
11	22
11	4
11	5
11	39
11	9
11	1
11	1
11	15
11	1
11	43
11	4
11	1
11	24
11	6
11	7
11	0
11	1
11	4
11	0
11	14
11	19
11	9
11	2
11	0
11	4
11	72
11	40
11	18
11	1
11	0
11	0
11	18
11	13
11	1
11	0
11	4
11	4
11	2
11	12
11	61
11	12
11	55
11	10
11	3
11	5
11	4
11	25
11	28
11	35
11	15
11	4
11	1
11	1
11	0
11	59
11	2
11	1
11	18
11	7
11	3
11	1
11	4
11	4
11	2
11	6
11	20
11	16
11	1
11	5
11	0
11	11
11	19
11	0
11	0
11	7
11	4
11	0
11	0
11	22
11	2
11	35
11	7
11	5
11	14
11	0
11	7
11	5
11	33
11	1
11	3
11	5
11	14
11	1
11	2
11	2
11	10
11	5
11	10
11	20
11	30
11	28
11	12
11	12
11	21
11	44
11	2
11	6
11	46
11	0
11	2
11	0
11	88
11	2
11	20
11	4
11	0
11	27
11	0
11	15
11	11
11	0
11	1
11	1
11	0
11	12
11	31
11	1
11	0
11	2
11	4
11	0
11	32
11	2
11	7
11	4
11	2
11	9
11	1
11	0
11	18
11	1
11	6
11	41
11	1
11	17
11	29
11	0
11	25
11	44
11	36
11	8
11	3
11	33
11	5
11	5
11	14
11	14
11	7
11	0
11	0
11	1
11	5
11	16
11	48
11	3
11	3
11	2
11	2
11	17
11	3
11	18
11	14
11	1
11	3
11	11
11	7
11	2
11	18
11	5
11	8
11	9
11	1
11	2
11	5
11	9
11	2
11	0
11	56
11	27
11	8
11	0
11	0
11	0
11	12
11	2
11	5
11	12
11	0
11	16
11	13
11	31
11	6
11	2
11	48
11	35
11	2
11	4
11	24
11	4
11	17
11	19
11	9
11	4
11	10
11	22
11	22
11	5
11	31
11	0
11	14
11	3
11	11
11	6
11	4
11	4
11	3
11	1
11	2
11	1
11	0
11	23
11	1
11	7
11	0
11	3
11	19
11	3
11	0
11	0
11	0
11	8
11	1
11	12
11	7
11	5
11	4
11	2
11	5
11	2
11	38
11	2
11	5
11	2
11	0
11	1
11	0
11	4
11	14
11	2
11	13
11	63
11	4
11	0
11	0
11	27
11	1
11	0
11	7
11	1
11	7
11	4
11	54
11	4
11	24
11	30
11	18
11	7
11	0
11	2
11	1
11	0
11	6
11	0
11	2
11	0
11	13
11	10
11	10
11	14
11	4
11	0
11	54
11	2
11	5
11	3
11	6
11	22
11	0
11	3
11	8
11	29
11	0
11	4
11	0
11	1
11	3
11	18
11	3
11	1
11	12
11	6
11	17
11	3
11	15
11	27
11	10
11	27
11	0
11	21
11	0
11	4
11	17
11	2
11	16
11	1
11	13
11	1
11	5
11	0
11	6
11	5
11	0
11	22
11	3
11	0
11	5
11	3
11	0
11	18
11	6
11	5
11	1
11	0
11	12
11	6
11	0
11	0
11	0
11	2
11	1
11	18
11	24
11	0
11	3
11	0
11	10
11	2
11	6
11	2
11	0
11	0
11	2
11	4
11	10
11	75
11	4
11	1
11	6
11	3
11	0
11	9
11	1
11	13
11	3
11	33
11	4
11	15
11	2
11	10
11	16
11	3
11	6
11	1
11	0
11	10
11	13
11	2
11	37
11	1
11	3
11	8
11	1
11	5
11	24
11	14
11	1
11	1
11	15
11	3
11	6
11	3
11	16
11	4
11	9
11	3
11	21
11	0
11	67
11	2
11	5
11	7
11	2
11	6
11	47
11	11
11	7
11	37
11	2
11	3
11	12
11	11
11	6
11	18
11	2
11	9
11	1
11	61
11	7
11	27
11	0
11	0
11	4
11	21
11	3
11	11
11	36
11	9
11	1
11	11
11	4
11	0
11	1
11	11
11	7
11	13
11	42
11	4
11	14
11	37
11	1
11	18
11	2
11	7
11	2
11	4
11	1
11	18
11	5
11	32
11	5
11	0
11	2
11	1
11	9
11	5
11	7
11	38
11	4
11	54
11	26
11	2
11	0
11	6
11	68
11	14
11	38
11	10
11	0
11	13
11	5
11	16
11	12
11	0
11	4
11	0
11	10
11	22
11	5
11	50
11	20
11	31
11	1
11	9
11	0
11	5
11	1
11	1
11	34
11	44
11	3
11	5
11	8
11	55
11	6
11	0
11	9
11	0
11	4
11	4
11	8
11	8
11	7
11	13
11	12
11	19
11	0
11	2
11	19
11	3
11	5
11	1
11	3
11	1
11	3
11	10
11	0
11	20
11	15
11	2
11	6
11	1
11	2
11	9
11	4
11	9
11	1
11	15
11	37
11	11
11	10
11	0
11	17
11	1
11	4
11	47
11	0
11	2
11	1
11	2
11	4
11	1
11	0
11	36
11	14
11	1
11	9
11	0
11	20
11	0
11	13
11	1
11	15
11	2
11	2
11	2
11	0
11	0
11	19
11	0
11	0
11	14
11	1
11	15
11	13
11	3
11	1
11	6
11	2
11	53
11	6
11	32
11	4
11	22
11	29
11	0
11	7
11	2
11	30
11	0
11	2
11	4
11	2
11	12
11	1
11	15
11	2
11	13
11	12
11	6
11	2
11	6
11	2
11	2
11	28
11	15
11	0
11	3
11	3
11	12
11	3
11	9
11	6
11	4
11	0
11	14
11	0
11	12
11	1
11	2
11	12
11	32
11	22
11	9
11	0
11	3
11	4
11	0
11	0
11	2
11	3
11	5
11	1
11	4
11	19
11	2
11	7
11	31
11	5
11	28
11	14
11	3
11	3
11	25
11	33
11	0
11	5
11	5
11	1
11	8
11	33
11	1
11	1
11	10
11	1
11	12
11	1
11	3
11	2
11	2
11	8
11	3
11	1
11	6
11	6
11	24
11	1
11	0
11	3
11	0
11	8
11	0
11	0
11	20
11	20
11	2
11	0
11	6
11	6
11	4
11	12
11	119
11	6
11	25
11	6
11	15
11	2
11	3
11	9
11	1
11	5
11	0
11	1
11	1
11	0
11	2
11	11
11	5
11	2
11	6
11	6
11	4
11	7
11	10
11	5
11	1
11	15
11	1
11	67
11	5
11	73
11	57
11	4
11	4
11	34
11	11
11	2
11	14
11	0
11	2
11	5
11	2
11	11
11	25
11	79
11	0
11	0
11	0
11	21
11	10
11	5
11	1
11	0
11	22
11	10
11	7
11	6
11	7
11	0
11	18
11	2
11	0
11	1
11	6
11	0
11	1
11	4
11	1
11	11
11	10
11	31
11	40
11	2
11	5
11	12
11	3
11	10
11	92
11	3
11	5
11	1
11	9
11	2
11	1
11	2
11	51
11	22
11	27
11	25
11	2
11	2
11	21
11	0
11	1
11	17
11	1
11	6
11	1
11	8
11	5
11	3
11	0
11	54
11	4
11	4
11	7
11	1
11	4
11	0
11	1
11	6
11	45
11	0
11	3
11	0
11	4
11	5
11	2
11	2
11	2
11	0
11	11
11	4
11	21
11	23
11	1
11	1
11	3
11	56
11	0
11	1
11	13
11	13
11	1
11	13
11	12
11	4
11	0
11	9
11	0
11	4
11	12
11	42
11	0
11	0
11	2
11	11
11	2
11	3
11	11
11	4
11	10
11	74
11	4
11	1
11	23
11	0
11	1
11	4
11	3
11	2
11	30
11	3
11	2
11	4
11	9
11	0
11	13
11	0
11	1
11	0
11	6
11	1
11	15
11	55
11	5
11	4
11	19
11	2
11	7
11	0
11	0
11	32
11	3
11	22
11	4
11	3
11	0
11	3
11	12
11	0
11	22
11	2
11	10
11	25
11	0
11	5
11	24
11	62
11	12
11	13
11	5
11	0
11	2
11	6
11	1
11	47
11	4
11	11
11	2
11	22
11	1
11	15
11	0
11	1
11	33
11	26
11	14
11	40
11	16
11	6
11	11
11	0
11	7
11	4
11	1
11	5
11	0
11	8
11	0
11	6
11	85
11	33
11	0
11	3
11	33
11	0
11	0
11	2
11	3
11	16
11	8
11	0
11	15
11	2
11	10
11	0
11	2
11	0
11	59
11	5
11	7
11	3
11	1
11	0
11	11
11	8
11	0
11	97
11	0
11	13
11	1
11	2
11	7
11	0
11	8
11	4
11	50
11	9
11	27
11	29
11	36
11	0
11	1
11	4
11	12
11	4
11	12
11	10
11	3
11	6
11	23
11	7
11	8
11	3
11	7
11	3
11	9
11	3
11	0
11	0
11	6
11	1
11	5
11	0
11	39
11	8
11	0
11	3
11	3
11	9
11	0
11	17
11	43
11	3
11	5
11	4
11	15
11	1
11	12
11	0
11	6
11	1
11	2
11	14
11	35
11	6
11	2
