cval	intersection_length
11	1320
11	1565
11	1039
11	0
11	1063
11	1235
11	775
11	383
11	1027
11	1906
11	1661
11	1048
11	688
11	727
11	700
11	961
11	502
11	585
11	807
11	694
11	900
11	690
11	362
11	722
11	0
11	666
11	849
11	336
11	301
11	692
11	1447
11	0
11	1335
11	468
11	641
11	2291
11	542
11	700
11	730
11	1562
11	1062
11	699
11	1055
11	745
11	1185
11	801
11	484
11	0
11	1017
11	757
11	1028
11	1226
11	1591
11	626
11	1009
11	746
11	338
11	1678
11	1634
11	479
11	961
11	2057
11	1518
11	902
11	401
11	0
11	805
11	341
11	587
11	992
11	1122
11	1132
11	650
11	1597
11	538
11	657
11	757
11	1310
11	1830
11	457
11	1931
11	685
11	711
11	543
11	1099
11	654
11	2141
11	1099
11	361
11	255
11	968
11	590
11	375
11	426
11	803
11	701
11	1332
11	1333
11	1082
11	1124
11	1301
11	0
11	1242
11	2680
11	472
11	592
11	1109
11	498
11	551
11	1238
11	1524
11	1668
11	1518
11	975
11	652
11	1172
11	376
11	1176
11	289
11	1210
11	3212
11	636
11	396
11	933
11	1029
11	1007
11	0
11	1441
11	473
11	1484
11	1869
11	1800
11	784
11	420
11	2153
11	987
11	382
11	261
11	1043
11	1298
11	234
11	938
11	738
11	1363
11	1817
11	736
11	415
11	1505
11	695
11	1023
11	933
11	947
11	1302
11	326
11	780
11	772
11	1388
11	215
11	736
11	1895
11	319
11	651
11	1152
11	613
11	1156
11	430
11	826
11	323
11	332
11	607
11	1367
11	1218
11	1171
11	943
11	789
11	3185
11	426
11	2031
11	780
11	537
11	1229
11	1740
11	697
11	435
11	328
11	1402
11	892
11	508
11	727
11	767
11	1363
11	986
11	1737
11	2277
11	772
11	963
11	381
11	622
11	1200
11	609
11	797
11	986
11	561
11	1446
11	975
11	707
11	2214
11	555
11	3481
11	1375
11	485
11	346
11	1094
11	0
11	523
11	363
11	412
11	401
11	1529
11	1334
11	895
11	492
11	364
11	815
11	1083
11	1065
11	564
11	1332
11	458
11	826
11	1650
11	485
11	1216
11	433
11	938
11	682
11	1082
11	327
11	639
11	988
11	649
11	1271
11	1301
11	1560
11	397
11	0
11	1847
11	351
11	1730
11	1708
11	377
11	1526
11	468
11	1104
11	1134
11	530
11	609
11	803
11	1099
11	1060
11	1153
11	564
11	1465
11	491
11	1306
11	865
11	571
11	935
11	1594
11	604
11	1349
11	315
11	1732
11	0
11	1120
11	572
11	2128
11	1110
11	585
11	2116
11	637
11	1352
11	1377
11	1092
11	1540
11	515
11	276
11	834
11	572
11	1756
11	1074
11	1653
11	354
11	2546
11	416
11	1409
11	455
11	769
11	1128
11	1084
11	778
11	955
11	715
11	1073
11	2019
11	801
11	458
11	480
11	719
11	968
11	514
11	1028
11	347
11	543
11	656
11	762
11	689
11	1244
11	310
11	854
11	888
11	1013
11	1184
11	856
11	338
11	245
11	1176
11	394
11	232
11	1181
11	820
11	688
11	1560
11	582
11	358
11	2385
11	2206
11	661
11	436
11	905
11	2024
11	1175
11	1906
11	1304
11	1385
11	2411
11	1286
11	2042
11	779
11	489
11	439
11	1100
11	1870
11	1710
11	0
11	1121
11	336
11	385
11	410
11	1009
11	832
11	1081
11	1283
11	983
11	823
11	854
11	991
11	844
11	705
11	2116
11	665
11	986
11	587
11	1462
11	710
11	2052
11	1342
11	1086
11	1158
11	381
11	937
11	401
11	345
11	961
11	929
11	2903
11	762
11	1176
11	716
11	389
11	1727
11	1087
11	1410
11	1381
11	1033
11	862
11	435
11	730
11	337
11	1196
11	1176
11	1155
11	1351
11	573
11	784
11	1375
11	2204
11	1042
11	1283
11	953
11	895
11	538
11	1445
11	863
11	307
11	0
11	565
11	477
11	1149
11	659
11	2404
11	473
11	611
11	2011
11	873
11	504
11	1403
11	1417
11	1522
11	1425
11	297
11	0
11	517
11	1023
11	1232
11	690
11	1541
11	925
11	911
11	380
11	1089
11	401
11	834
11	370
11	250
11	2755
11	406
11	1235
11	1194
11	1060
11	737
11	489
11	2725
11	1054
11	445
11	1030
11	1098
11	887
11	534
11	788
11	445
11	1020
11	3116
11	1235
11	1178
11	556
11	1057
11	0
11	598
11	2292
11	2374
11	1664
11	1667
11	1536
11	1330
11	3138
11	872
11	666
11	383
11	1076
11	1333
11	1707
11	581
11	914
11	962
11	1641
11	779
11	1168
11	499
11	378
11	1912
11	1234
11	0
11	1031
11	1320
11	1280
11	0
11	818
11	1291
11	1681
11	1020
11	619
11	2192
11	0
11	849
11	1159
11	604
11	597
11	1183
11	623
11	566
11	1221
11	1513
11	2041
11	809
11	352
11	537
11	1069
11	774
11	1288
11	1306
11	450
11	909
11	809
11	1885
11	1232
11	665
11	432
11	355
11	912
11	679
11	538
11	338
11	1796
11	762
11	663
11	1438
11	804
11	1215
11	725
11	1606
11	455
11	1994
11	503
11	1036
11	1303
11	690
11	657
11	1483
11	538
11	2021
11	1167
11	768
11	588
11	1910
11	631
11	347
11	1973
11	479
11	401
11	1066
11	1248
11	0
11	476
11	1081
11	867
11	469
11	1108
11	516
11	912
11	499
11	0
11	1208
11	404
11	1031
11	895
11	356
11	1228
11	935
11	2103
11	589
11	481
11	1107
11	1682
11	266
11	2234
11	720
11	499
11	2974
11	292
11	359
11	2084
11	1022
11	722
11	0
11	958
11	1168
11	754
11	626
11	444
11	720
11	1370
11	1327
11	679
11	1421
11	361
11	368
11	1210
11	632
11	704
11	354
11	549
11	1194
11	484
11	636
11	2001
11	1026
11	492
11	722
11	1272
11	942
11	1418
11	610
11	782
11	719
11	1199
11	956
11	1097
11	738
11	748
11	1466
11	475
11	1214
11	310
11	1278
11	1592
11	939
11	1812
11	868
11	766
11	157
11	415
11	706
11	362
11	873
11	837
11	524
11	1218
11	442
11	2596
11	2560
11	400
11	0
11	697
11	1905
11	2406
11	1038
11	1920
11	340
11	1706
11	1078
11	557
11	427
11	636
11	1074
11	599
11	492
11	1170
11	1920
11	611
11	823
11	498
11	506
11	0
11	955
11	0
11	616
11	1415
11	783
11	2468
11	1364
11	500
11	1689
11	1590
11	665
11	692
11	1287
11	456
11	0
11	2024
11	0
11	571
11	673
11	750
11	689
11	529
11	1326
11	1141
11	1710
11	576
11	1350
11	1833
11	1048
11	695
11	1359
11	2086
11	906
11	735
11	427
11	562
11	381
11	899
11	0
11	1687
11	522
11	495
11	497
11	1141
11	852
11	1190
11	741
11	793
11	911
11	1011
11	1046
11	477
11	2118
11	931
11	1711
11	973
11	548
11	1811
11	1674
11	386
11	1151
11	640
11	1711
11	321
11	1243
11	1194
11	1353
11	363
11	943
11	585
11	1295
11	673
11	1900
11	699
11	296
11	584
11	925
11	389
11	994
11	454
11	352
11	326
11	719
11	1422
11	1505
11	544
11	613
11	922
11	1069
11	435
11	839
11	1130
11	1177
11	720
11	2623
11	555
11	606
11	292
11	318
11	483
11	382
11	908
11	384
11	1714
11	1172
11	675
11	0
11	1044
11	801
11	894
11	383
11	1259
11	400
11	2039
11	0
11	770
11	564
11	698
11	1329
11	1180
11	739
11	1255
11	618
11	868
11	1004
11	806
11	1928
11	623
11	824
11	654
11	281
11	514
11	1238
11	730
11	486
11	1133
11	1837
11	1277
11	1101
11	740
11	701
11	575
11	735
11	517
11	958
11	1098
11	0
11	1278
11	947
11	996
11	564
11	423
11	753
11	1212
11	609
11	480
11	1209
11	675
11	922
11	1005
11	707
11	649
11	0
11	516
11	1882
11	3835
11	260
11	730
11	500
11	535
11	346
11	1475
11	1247
11	1384
11	445
11	449
11	510
11	255
11	1168
11	623
11	653
11	1621
11	1791
11	1212
11	2319
11	1755
11	1634
11	891
11	744
11	1602
11	1235
11	250
11	497
11	816
11	1365
